# HTTP verbs recovered from the CSS class on each doc page's request table
# (class="CHHttpRequest CHHttpRequest_<verb>"). The verb is never rendered as text in the
# docs - it is an image plus this class - so this is the only machine-readable source.
# 200 request blocks across 150 pages, 0 unparsed. The verb column is EVIDENCE.
#
# Two paths are marked CORRECTED: the CSS block provably exists and its verb is reliable, but
# the URL the block printed is wrong, so the path was fixed by hand against the raw HTML:
#   PUT .../orders/ack       - block printed the bySeller URL above it (copy-paste artifact);
#                              its heading, params table and example all say ack.
#   POST .../quickLabels/delete - block printed a bare /resto/api/v2/ (empty bold segment);
#                              completed from the same page's example URL.
#
# verb(s)	path	source_slug(s)	note
GET	/resto/api/employees/schedule/byDepartment/{departmentCode}/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
DELETE	/resto/api/employees/schedule/byId/{scheduleUUID}	rabota-s-dannymi-smeny-i-raspisaniy	
POST	/resto/api/employees/schedule/create	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/department/{departmentId}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/department/{departmentId}/byEmployee/{employeeUUID}/?from={YYYY-MM-DD}&to={YYYY-MM-DD}&withPaymentDetails={true/false}&revisionFrom=-1	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/schedule/types	rabota-s-dannymi-smeny-i-raspisaniy	
POST	/resto/api/employees/schedule/update	rabota-s-dannymi-smeny-i-raspisaniy	
GET	/resto/api/employees/search?firstName={regexp}&middleName={regexp}	rabota-s-dannymi-sotrudnikovv	
GET	/resto/api/employees/waiterTeams	rabota-s-dannymi-brigad	
GET,PUT	/resto/api/employees/waiterTeams/assignments	rabota-s-dannymi-brigad	
GET	/resto/api/employees/waiterTeams/assignments/byDepartment/{departmentId}	rabota-s-dannymi-brigad	
PUT	/resto/api/employees/waiterTeams/byCode/{teamCode}	rabota-s-dannymi-brigad	
GET	/resto/api/employees/waiterTeams/byDepartment/{departmentUUID}	rabota-s-dannymi-brigad	
POST,PUT	/resto/api/employees/waiterTeams/byId/{UUID}	rabota-s-dannymi-brigad	
DELETE,GET	/resto/api/employees/waiterTeams/byId/{teamUUID}	rabota-s-dannymi-brigad	
GET	/resto/api/employees/waiterTeams/search?{param1}={regexp}&{param2}={regexp}&includeDeleted={true/false}	rabota-s-dannymi-brigad	
GET	/resto/api/entities/accounts/list	scheta	
GET,POST	/resto/api/events	sobytiya	
POST	/resto/api/events/add	sobytiya	
GET,POST	/resto/api/events/metadata	sobytiya	
GET	/resto/api/events/sessions	sobytiya	
POST	/resto/api/logout?key=[token]	avtorizatsiya	
GET	/resto/api/products	rabota-s-produktami	
GET	/resto/api/products/search	rabota-s-produktami	
GET	/resto/api/replication/byDepartmentId/{departmentId}/status	statusy-replikatsii	
GET	/resto/api/replication/serverType	statusy-replikatsii	
GET	/resto/api/replication/statuses	statusy-replikatsii	
GET	/resto/api/reports/delivery/consolidated	otchety-dostavka-v1	
GET	/resto/api/reports/delivery/couriers	otchety-dostavka-v1	
GET	/resto/api/reports/delivery/halfHourDetailed	otchety-dostavka-v1	
GET	/resto/api/reports/delivery/loyalty	otchety-dostavka-v1	
GET	/resto/api/reports/delivery/orderCycle	otchety-dostavka-v1	
GET	/resto/api/reports/delivery/regions	otchety-dostavka-v1	
GET	/resto/api/reports/ingredientEntry	otchety-v1	
GET	/resto/api/reports/monthlyIncomePlan	otchety-v1	
GET	/resto/api/reports/olap	olap-otchety-v1	
GET	/resto/api/reports/productExpense	otchety-v1	
GET	/resto/api/reports/sales	otchety-v1	
GET	/resto/api/reports/storeOperations	otchety-v1	
GET	/resto/api/reports/storeReportPresets	otchety-v1	
GET	/resto/api/suppliers	rabota-s-postavschikami	
GET	/resto/api/suppliers/search	rabota-s-postavschikami	
GET	/resto/api/suppliers/{code}/pricelist	rabota-s-postavschikami	
GET	/resto/api/v2/assemblyCharts/byId	tekhnologicheskie-karty	
POST	/resto/api/v2/assemblyCharts/delete	tekhnologicheskie-karty	
GET	/resto/api/v2/assemblyCharts/getAll?dateFrom={dateFrom}&dateTo={dateTo}&includeDeletedProducts=true&includePreparedCharts=false	tekhnologicheskie-karty	
GET	/resto/api/v2/assemblyCharts/getAllUpdate?knownRevision={knownRevision}&dateFrom={dateFrom}&dateTo={dateTo}&includeDeletedProducts=true&includePreparedCharts=false	tekhnologicheskie-karty	
GET	/resto/api/v2/assemblyCharts/getAssembled?date={date}&productId={productId}&departmentId={departmentId}	tekhnologicheskie-karty	
GET	/resto/api/v2/assemblyCharts/getHistory	tekhnologicheskie-karty	
GET	/resto/api/v2/assemblyCharts/getPrepared?date={date}&productId={productId}&departmentId={departmentId}	tekhnologicheskie-karty	
GET	/resto/api/v2/assemblyCharts/getTree?date={date}&productId={productId}&departmentId={departmentId}	tekhnologicheskie-karty	
POST	/resto/api/v2/assemblyCharts/save	tekhnologicheskie-karty	
GET	/resto/api/v2/cashshifts/byId/{sessionId}	kassovye-smeny-v2	
GET	/resto/api/v2/cashshifts/closedSessionDocument/{id}	kassovye-smeny-v2	
